Date,head
2001-01-02,241.16
2001-01-09,241.12
2001-01-16,241.08
2001-01-23,241.06
2001-01-30,241.04
2001-02-06,241.02
2001-02-13,240.99
2001-02-20,240.96
2001-02-27,240.93
2001-03-06,240.9
2001-03-13,240.87
2001-03-20,240.84
2001-03-27,240.8
2001-04-03,240.81
2001-04-10,240.83
2001-04-17,240.9
2001-04-24,241.05
2001-05-01,241.23
2001-05-08,241.47
2001-05-15,241.63
2001-05-22,241.56
2001-05-29,241.49
2001-06-05,241.5
2001-06-12,241.52
2001-06-19,241.42
2001-06-26,241.26
2001-07-03,241.14
2001-07-10,241.1
2001-07-17,241.05
2001-07-24,241.08
2001-07-31,241.12
2001-08-07,241.15
2001-08-14,241.18
2001-08-21,241.13
2001-08-28,241.07
2001-09-04,241.09
2001-09-11,241.15
2001-09-18,241.19
2001-09-25,241.21
2001-10-02,241.22
2001-10-09,241.23
2001-10-16,241.24
2001-10-23,241.21
2001-10-30,241.18
2001-11-06,241.13
2001-11-13,241.08
2001-11-20,241.04
2001-11-27,241.02
2001-12-04,241.01
2001-12-11,241.01
2001-12-18,241.0
2001-12-25,240.96
2002-01-01,240.93
2002-01-08,240.87
2002-01-15,240.82
2002-01-22,240.87
2002-01-29,240.91
2002-02-05,240.89
2002-02-12,240.86
2002-02-19,240.84
2002-02-26,240.83
2002-03-05,240.82
2002-03-12,240.8
2002-03-19,240.79
2002-03-26,240.8
2002-04-02,240.83
2002-04-09,240.89
2002-04-16,240.98
2002-04-23,241.28
2002-04-30,241.57
2002-05-07,241.56
2002-05-14,241.55
2002-05-21,241.45
2002-05-28,241.34
2002-06-04,241.37
2002-06-11,241.15
2002-06-18,240.94
2002-06-25,240.92
2002-07-02,240.89
2002-07-09,240.86
2002-07-16,240.84
2002-07-23,240.82
2002-07-30,240.81
2002-08-06,240.7
2002-08-13,240.58
2002-08-20,240.52
2002-08-27,240.48
2002-09-03,240.47
2002-09-10,240.49
2002-09-17,240.51
2002-09-24,240.54
2002-10-01,240.56
2002-10-08,240.56
2002-10-15,240.56
2002-10-22,240.59
2002-10-29,240.62
2002-11-05,240.59
2002-11-12,240.55
2002-11-19,240.52
2002-11-26,240.5
2002-12-03,240.48
2002-12-10,240.44
2002-12-17,240.42
2002-12-24,240.4
2002-12-31,240.39
2003-01-07,240.35
2003-01-14,240.32
2003-01-21,240.28
2003-01-28,240.24
2003-02-04,240.22
2003-02-11,240.19
2003-02-18,240.17
2003-02-25,240.14
2003-03-04,240.14
2003-03-11,240.16
2003-03-18,240.18
2003-03-25,240.21
2003-04-01,240.24
2003-04-08,240.28
2003-04-15,240.31
2003-04-22,240.67
2003-04-29,241.03
2003-05-06,241.13
2003-05-13,241.23
2003-05-20,241.27
2003-05-27,241.29
2003-06-03,241.26
2003-06-10,241.18
2003-06-17,241.09
2003-06-24,240.98
2003-07-01,240.87
2003-07-08,240.83
2003-07-15,240.78
2003-07-22,240.76
2003-07-29,240.74
2003-08-05,240.76
2003-08-12,240.78
2003-08-19,240.74
2003-08-26,240.65
2003-09-02,240.57
2003-09-09,240.48
2003-09-16,240.41
2003-09-23,240.51
2003-09-30,240.61
2003-10-07,240.77
2003-10-14,240.94
2003-10-21,240.93
2003-10-28,240.89
2003-11-04,240.95
2003-11-11,241.04
2003-11-18,241.06
2003-11-25,240.99
2003-12-02,240.94
2003-12-09,240.92
2003-12-16,240.87
2003-12-23,240.81
2003-12-30,240.76
2004-01-06,240.74
2004-01-13,240.71
2004-01-20,240.69
